"","uniqueID","err_prop_by_ID","err_count_by_ID"
"1","11749_HARMONY_FFM_Helena_118_llh",0.0892857142857143,5
"2","11749_HARMONY_MFM_Helena_042_hhh",0.0392156862745098,2
"3","11749_MADELYN_MFF_Marilyn_037_hll",0.0517241379310345,3
"4","11749_MADELYN_MFM_Jeremy_057_hhh",0.0172413793103448,1
"5","11749_MELANIE_FFM_Helena_133_lhh",0.0892857142857143,5
"6","14542_HARMONY_FFM_Helena_002_hlh",0.185185185185185,10
"7","14542_HARMONY_FFM_Jeremy_063_lll",0.04,2
"8","14542_HARMONY_FFM_Jeremy_085_hll",0.0769230769230769,4
"9","14542_HARMONY_FMF_Marilyn_019_lll",0.0833333333333333,4
"10","14542_HARMONY_FMF_Marilyn_029_hll",0.175438596491228,10
"11","14542_HARMONY_FMM_Helena_024_hll",0.274509803921569,14
"12","14542_HARMONY_FMM_Jeremy_039_lll",0.0208333333333333,1
"13","14542_HARMONY_FMM_Jeremy_067_hhh",0.0196078431372549,1
"14","14542_HARMONY_MFF_Helena_030_hll",0.0192307692307692,1
"15","14542_HARMONY_MFF_Jeremy_016_lll",0.185185185185185,10
"16","14542_HARMONY_MFF_Jeremy_119_hhl",0.0181818181818182,1
"17","14542_HARMONY_MFF_Marilyn_028_hlh",0.0961538461538462,5
"18","14542_HARMONY_MFM_Helena_134_hlh",0.0196078431372549,1
"19","14542_HARMONY_MFM_Jeremy_129_lll",0.0566037735849057,3
"20","14542_HARMONY_MFM_Jeremy_131_hll",0.0851063829787234,4
"21","14542_HARMONY_MFM_Marilyn_031_llh",0.06,3
"22","14542_HARMONY_MMF_Jeremy_001_hlh",0.169811320754717,9
"23","14542_HARMONY_MMF_Marilyn_007_lhh",0.0192307692307692,1
"24","14542_HARMONY_MMF_Marilyn_110_hll",0.0588235294117647,3
"25","14542_MADELYN_FFM_Marilyn_004_hlh",0.157894736842105,9
"26","14542_MADELYN_FFM_Marilyn_121_hhh",0.0535714285714286,3
"27","14542_MADELYN_FMF_Jeremy_116_lhl",0.0384615384615385,2
"28","14542_MADELYN_FMF_Marilyn_022_hll",0.0178571428571429,1
"29","14542_MADELYN_FMF_Marilyn_038_lll",0.120689655172414,7
"30","14542_MADELYN_FMM_Helena_133_lll",0.0925925925925926,5
"31","14542_MADELYN_FMM_Jeremy_027_hhl",0.0666666666666667,4
"32","14542_MADELYN_FMM_Jeremy_059_hll",0.0188679245283019,1
"33","14542_MADELYN_FMM_Jeremy_075_lhl",0.0333333333333333,2
"34","14542_MADELYN_MFF_Marilyn_074_lll",0.0384615384615385,2
"35","14542_MADELYN_MFM_Helena_020_hlh",0.392156862745098,20
"36","14542_MADELYN_MFM_Helena_136_hll",0.0740740740740741,4
"37","14542_MADELYN_MFM_Jeremy_064_lll",0.0677966101694915,4
"38","14542_MADELYN_MMF_Jeremy_128_hll",0.25,14
"39","14542_MADELYN_MMF_Marilyn_100_hlh",0.0754716981132075,4
"40","14542_MADELYN_MMF_Marilyn_113_lll",0.157894736842105,9
"41","14542_MELANIE_FFM_Jeremy_015_lll",0.203703703703704,11
"42","14542_MELANIE_FFM_Marilyn_080_lhl",0.0217391304347826,1
"43","14542_MELANIE_FFM_Marilyn_081_hll",0.102040816326531,5
"44","14542_MELANIE_FMF_Jeremy_076_hll",0.0816326530612245,4
"45","14542_MELANIE_FMM_Helena_018_hll",0.204081632653061,10
"46","14542_MELANIE_FMM_Helena_140_hlh",0.176470588235294,9
"47","14542_MELANIE_MFF_Jeremy_088_lll",0.0769230769230769,4
"48","14542_MELANIE_MFM_Marilyn_091_hlh",0.212765957446809,10
