"","uniqueID","err_prop_by_ID","err_count_by_ID","err_in_ID","oct_jump_prop_by_ID","oct_jump_count_by_ID","oct_jump_in_ID"
"59","11749_MADELYN_FMF_Jeremy_083_hlh",0,0,0,0,0,0
"60","11749_MADELYN_FMF_Jeremy_121_lhl",0,0,0,0,0,0
"61","11749_MADELYN_FMF_Marilyn_020_hhl",0,0,0,0,0,0
"62","11749_MADELYN_FMF_Marilyn_040_hll",0,0,0,0,0,0
"63","11749_MADELYN_FMF_Marilyn_108_lll",0,0,0,0,0,0
"64","11749_MADELYN_FMF_Marilyn_112_hhh",0,0,0,0,0,0
"65","11749_MADELYN_FMM_Helena_032_lll",0,0,0,0,0,0
"66","11749_MADELYN_FMM_Jeremy_024_hhh",0,0,0,0,0,0
"67","11749_MADELYN_FMM_Jeremy_085_llh",0,0,0,0,0,0
"68","11749_MADELYN_FMM_Jeremy_094_hll",0,0,0,0,0,0
"69","11749_MADELYN_FMM_Jeremy_114_lhl",0,0,0,0,0,0
"70","11749_MADELYN_FMM_Jeremy_116_hhl",0,0,0,0,0,0
"71","11749_MADELYN_FMM_Jeremy_144_lhh",0,0,0,0,0,0
"72","11749_MADELYN_FMM_Marilyn_140_hlh",0,0,0,0,0,0
"73","11749_MADELYN_MFF_Helena_033_hhh",0,0,0,0,0,0
"74","11749_MADELYN_MFF_Helena_059_lhh",0,0,0,0,0,0
"75","11749_MADELYN_MFF_Helena_097_llh",0,0,0,0,0,0
"76","11749_MADELYN_MFF_Jeremy_084_hlh",0,0,0,0,0,0
"77","11749_MADELYN_MFF_Jeremy_128_hhl",0,0,0,0,0,0
"78","11749_MADELYN_MFF_Marilyn_030_lhl",0,0,0,0,0,0
"79","11749_MADELYN_MFF_Marilyn_037_hll",0.0517241379310345,3,1,0,0,1
"80","11749_MADELYN_MFF_Marilyn_074_lll",0,0,0,0,0,0
"81","11749_MADELYN_MFM_Helena_008_hlh",0,0,0,0,0,0
"82","11749_MADELYN_MFM_Helena_050_llh",0,0,0,0,0,0
"83","11749_MADELYN_MFM_Helena_104_hhl",0,0,0,0,0,0
"84","11749_MADELYN_MFM_Helena_132_hll",0,0,0,0,0,0
"85","11749_MADELYN_MFM_Jeremy_021_lll",0,0,0,0,0,0
"86","11749_MADELYN_MFM_Jeremy_057_hhh",0.0172413793103448,1,1,0,0,1
"87","11749_MADELYN_MFM_Jeremy_137_lhh",0,0,0,0,0,0
"88","11749_MADELYN_MFM_Marilyn_012_lhl",0,0,0,0,0,0
"89","11749_MADELYN_MMF_Helena_015_hhl",0,0,0,0,0,0
"90","11749_MADELYN_MMF_Helena_081_lhh",0,0,0,0,0,0
"91","11749_MADELYN_MMF_Jeremy_076_llh",0,0,0,0,0,0
"92","11749_MADELYN_MMF_Jeremy_077_lhl",0,0,0,0,0,0
"93","11749_MADELYN_MMF_Jeremy_143_hll",0,0,0,0,0,0
"94","11749_MADELYN_MMF_Marilyn_127_lll",0,0,0,0,0,0
"95","11749_MADELYN_MMF_Marilyn_138_hhh",0,0,0,0,0,0
"96","11749_MADELYN_MMF_Marilyn_139_hlh",0,0,0,0,0,0
"97","11749_MELANIE_FFM_Helena_014_hlh",0,0,0,0,0,0
"98","11749_MELANIE_FFM_Helena_016_hhh",0,0,0,0,0,0
"99","11749_MELANIE_FFM_Helena_105_hhl",0,0,0,0,0,0
"100","11749_MELANIE_FFM_Helena_133_lhh",0.0892857142857143,5,1,0,0,1
"101","11749_MELANIE_FFM_Jeremy_043_llh",0,0,0,0,0,0
"102","11749_MELANIE_FFM_Jeremy_066_lll",0,0,0,0,0,0
"103","11749_MELANIE_FFM_Marilyn_038_hll",0,0,0,0,0,0
"104","11749_MELANIE_FFM_Marilyn_115_lhl",0,0,0,0,0,0
"105","11749_MELANIE_FMF_Helena_063_hhl",0,0,0,0,0,0
"106","11749_MELANIE_FMF_Jeremy_006_llh",0,0,0,0,0,0
"107","11749_MELANIE_FMF_Jeremy_029_lll",0,0,0,0,0,0
"108","11749_MELANIE_FMF_Jeremy_035_hll",0,0,0,0,0,0
"109","11749_MELANIE_FMF_Jeremy_070_lhl",0,0,0,0,0,0
"110","11749_MELANIE_FMF_Jeremy_117_hlh",0,0,0,0,0,0
"111","11749_MELANIE_FMF_Marilyn_010_lhh",0,0,0,0,0,0
"112","11749_MELANIE_FMF_Marilyn_134_hhh",0,0,0,0,0,0
