Filename,t_ms,F0,ST,lead_ST,ST_diff,ST_jump,ST_jump_trial_mean,ST_jump_count,ST_jump_in_trial
file14,2230,206.969,12.59297634918988,13.070560563522466,0.4775842143325857,0,0.0661764705882353,9,1
file14,2240,212.758,13.070560563522466,12.662681097755684,-0.4078794657667828,0,0.0661764705882353,9,1
file14,2250,207.804,12.662681097755684,12.473956687090636,-0.18872441066504742,0,0.0661764705882353,9,1
file14,2260,205.551,12.473956687090636,12.40348636279076,-0.0704703242998761,0,0.0661764705882353,9,1
file14,2270,204.716,12.40348636279076,12.290474260752461,-0.11301210203829903,0,0.0661764705882353,9,1
file14,2280,203.384,12.290474260752461,12.458368219311662,0.1678939585592012,0,0.0661764705882353,9,1
file14,2290,205.366,12.458368219311662,12.318286621788573,-0.14008159752308913,0,0.0661764705882353,9,1
file14,2300,203.711,12.318286621788573,12.424868755121132,0.10658213333255873,0,0.0661764705882353,9,1
file14,2310,204.969,12.424868755121132,12.417687892895875,-0.00718086222525649,0,0.0661764705882353,9,1
file14,2320,204.884,12.417687892895875,12.575317824799482,0.15762993190360675,0,0.0661764705882353,9,1
file14,2330,206.758,12.575317824799482,12.486249035346814,-0.08906878945266783,0,0.0661764705882353,9,1
file14,2340,205.697,12.486249035346814,11.793010346165355,-0.6932386891814595,0,0.0661764705882353,9,1
file14,2350,197.623,11.793010346165355,12.585864891921728,0.7928545457563736,0,0.0661764705882353,9,1
file14,2360,206.884,12.585864891921728,12.665430139536404,0.07956524761467598,0,0.0661764705882353,9,1
file14,2370,207.837,12.665430139536404,12.720983763101883,0.055553623565478105,0,0.0661764705882353,9,1
file14,2380,208.505,12.720983763101883,12.466880419766762,-0.25410334333512097,0,0.0661764705882353,9,1
file14,2390,205.467,12.466880419766762,11.990735419341107,-0.4761450004256549,0,0.0661764705882353,9,1
file14,2400,199.893,11.990735419341107,11.670723891767562,-0.3200115275735449,0,0.0661764705882353,9,1
file14,2410,196.232,11.670723891767562,11.752841670816117,0.08211777904855566,0,0.0661764705882353,9,1
file14,2420,197.165,11.752841670816117,11.752841670816117,0,0,0.0661764705882353,9,1
file14,2420,197.165,11.752841670816117,13.514080073160015,1.7612384023438974,1,0.0661764705882353,9,1
file14,2430,218.279,13.514080073160015,13.314172194234873,-0.19990787892514206,0,0.0661764705882353,9,1
file14,2440,215.773,13.314172194234873,13.860752260857039,0.5465800666221661,0,0.0661764705882353,9,1
file14,2450,222.694,13.860752260857039,13.901517984023867,0.04076572316682814,0,0.0661764705882353,9,1
file14,2460,223.219,13.901517984023867,12.188539746881014,-1.7129782371428526,0,0.0661764705882353,9,1
file14,2470,202.19,12.188539746881014,12.477662149308424,0.2891224024274095,0,0.0661764705882353,9,1
file14,2480,205.595,12.477662149308424,12.370473543386883,-0.10718860592154122,0,0.0661764705882353,9,1
file14,2490,204.326,12.370473543386883,11.696642289635548,-0.6738312537513345,0,0.0661764705882353,9,1
file14,2500,196.526,11.696642289635548,12.259121194601594,0.5624789049660457,0,0.0661764705882353,9,1
file14,2510,203.016,12.259121194601594,12.499205485432832,0.24008429083123772,0,0.0661764705882353,9,1
file14,2520,205.851,12.499205485432832,13.569668388880853,1.0704629034480213,0,0.0661764705882353,9,1
file14,2530,218.981,13.569668388880853,12.1869984441422,-1.3826699447386535,0,0.0661764705882353,9,1
file14,2540,202.172,12.1869984441422,13.257514583007316,1.0705161388651163,0,0.0661764705882353,9,1
file14,2550,215.068,13.257514583007316,17.72845993689285,4.470945353885535,1,0.0661764705882353,9,1
file14,2560,278.441,17.72845993689285,17.72845993689285,0,0,0.0661764705882353,9,1
file14,2570,278.441,17.72845993689285,17.72845993689285,0,0,0.0661764705882353,9,1
file14,2570,278.441,17.72845993689285,17.72845993689285,0,0,0.0661764705882353,9,1
file14,2580,278.441,17.72845993689285,17.033625330332452,-0.6948346065603985,0,0.0661764705882353,9,1
file14,2590,267.487,17.033625330332452,12.715585918585175,-4.318039411747277,1,0.0661764705882353,9,1
file14,2600,208.44,12.715585918585175,13.21148964036836,0.49590372178318454,0,0.0661764705882353,9,1
file14,2610,214.497,13.21148964036836,12.541708535777742,-0.6697811045906175,0,0.0661764705882353,9,1
file14,2620,206.357,12.541708535777742,12.661098118083206,0.11938958230546426,0,0.0661764705882353,9,1
file14,2630,207.785,12.661098118083206,12.244447549784864,-0.41665056829834235,0,0.0661764705882353,9,1
file14,2640,202.844,12.244447549784864,11.941385174188134,-0.30306237559672944,0,0.0661764705882353,9,1
file14,2650,199.324,11.941385174188134,13.117691556003937,1.1763063818158024,0,0.0661764705882353,9,1
file14,2660,213.338,13.117691556003937,11.702015059187337,-1.4156764968165998,0,0.0661764705882353,9,1
file14,2670,196.587,11.702015059187337,11.466164165585676,-0.23585089360166123,0,0.0661764705882353,9,1
file14,2680,193.927,11.466164165585676,11.066374180756386,-0.3997899848292903,0,0.0661764705882353,9,1
file14,2690,189.5,11.066374180756386,11.140489360149456,0.07411517939307011,0,0.0661764705882353,9,1
file14,2700,190.313,11.140489360149456,10.957039568894368,-0.18344979125508765,0,0.0661764705882353,9,1
file14,2710,188.307,10.957039568894368,10.817840781840525,-0.13919878705384292,0,0.0661764705882353,9,1
file14,2720,186.799,10.817840781840525,10.162396230977356,-0.6554445508631694,0,0.0661764705882353,9,1
file14,2730,179.859,10.162396230977356,10.472716071878002,0.3103198409006467,0,0.0661764705882353,9,1
file14,2740,183.112,10.472716071878002,0.4522975597485272,-10.020418512129476,1,0.0661764705882353,9,1
file14,2750,102.647,0.4522975597485272,0.21728557230582815,-0.23501198744269905,0,0.0661764705882353,9,1
file14,2760,101.263,0.21728557230582815,-0.04125248031513159,-0.25853805262095975,0,0.0661764705882353,9,1
file14,2770,99.762,-0.04125248031513159,-0.4287247933683603,-0.3874723130532287,0,0.0661764705882353,9,1
file14,2780,97.554,-0.4287247933683603,-0.504133599164236,-0.07540880579587567,0,0.0661764705882353,9,1
file14,2790,97.13,-0.504133599164236,-0.42783749521321635,0.0762961039510196,0,0.0661764705882353,9,1
file14,2800,97.559,-0.42783749521321635,-0.42783749521321635,0,0,0.0661764705882353,9,1
file14,2810,97.559,-0.42783749521321635,-0.014201942795011663,0.4136355524182047,0,0.0661764705882353,9,1
file14,2820,99.918,-0.014201942795011663,1.1105488985227758,1.1247508413177876,0,0.0661764705882353,9,1
file14,2830,106.625,1.1105488985227758,1.4924140999048972,0.3818652013821213,0,0.0661764705882353,9,1
file14,2840,109.003,1.4924140999048972,1.519393222072616,0.026979122167718916,0,0.0661764705882353,9,1
file14,2850,109.173,1.519393222072616,1.7294964464677722,0.21010322439515616,0,0.0661764705882353,9,1
file14,2860,110.506,1.7294964464677722,-5.8769633657425056,-7.606459812210278,1,0.0661764705882353,9,1
file14,2870,71.215,-5.8769633657425056,-5.468074663367221,0.4088887023752843,0,0.0661764705882353,9,1
file14,2880,72.917,-5.468074663367221,-4.657773044472426,0.8103016188947949,0,0.0661764705882353,9,1
file14,2890,76.411,-4.657773044472426,-4.67953731389601,-0.021764269423584004,0,0.0661764705882353,9,1
file14,2900,76.315,-4.67953731389601,-3.44853370681821,1.2310036070778003,0,0.0661764705882353,9,1
file14,2910,81.939,-3.44853370681821,-4.035601911501209,-0.5870682046829994,0,0.0661764705882353,9,1
file14,2920,79.207,-4.035601911501209,-5.0155719370126155,-0.9799700255114061,0,0.0661764705882353,9,1
file14,2930,74.848,-5.0155719370126155,2.3474972489077284,7.363069185920343,1,0.0661764705882353,9,1
file14,2940,114.522,2.3474972489077284,3.2150312073367444,0.867533958429016,0,0.0661764705882353,9,1
file14,2950,120.407,3.2150312073367444,3.299655333094867,0.08462412575812239,0,0.0661764705882353,9,1
file14,2960,120.997,3.299655333094867,3.2568212451131235,-0.04283408798174326,0,0.0661764705882353,9,1
file14,2970,120.698,3.2568212451131235,3.36392223322222,0.1071009881090963,0,0.0661764705882353,9,1
file14,2980,121.447,3.36392223322222,3.197480929631284,-0.16644130359093579,0,0.0661764705882353,9,1
file14,2990,120.285,3.197480929631284,3.3691958014626517,0.1717148718313677,0,0.0661764705882353,9,1
file14,3000,121.484,3.3691958014626517,3.545432130403546,0.17623632894089436,0,0.0661764705882353,9,1
file14,3010,122.727,3.545432130403546,2.993344093030051,-0.5520880373734953,0,0.0661764705882353,9,1
file14,3020,118.875,2.993344093030051,3.271158825429295,0.27781473239924415,0,0.0661764705882353,9,1
file14,3030,120.798,3.271158825429295,3.1549701148489873,-0.11618871058030766,0,0.0661764705882353,9,1
file14,3040,119.99,3.1549701148489873,3.4360449387431165,0.2810748238941292,0,0.0661764705882353,9,1
file14,3050,121.954,3.4360449387431165,3.207696779885432,-0.22834815885768434,0,0.0661764705882353,9,1
file14,3060,120.356,3.207696779885432,2.3276825869894218,-0.8800141928960103,0,0.0661764705882353,9,1
file14,3070,114.391,2.3276825869894218,1.5551946087574373,-0.7724879782319845,0,0.0661764705882353,9,1
file14,3080,109.399,1.5551946087574373,2.086892990682407,0.5316983819249697,0,0.0661764705882353,9,1
file14,3090,112.811,2.086892990682407,1.9991972121042014,-0.08769577857820554,0,0.0661764705882353,9,1
file14,3100,112.241,1.9991972121042014,1.9991972121042014,0,0,0.0661764705882353,9,1
file14,3110,112.241,1.9991972121042014,0.9804930488870699,-1.0187041632171314,0,0.0661764705882353,9,1
file14,3120,105.827,0.9804930488870699,1.3338183835968507,0.3533253347097808,0,0.0661764705882353,9,1
file14,3130,108.009,1.3338183835968507,1.1397502481657107,-0.19406813543114,0,0.0661764705882353,9,1
file14,3140,106.805,1.1397502481657107,NA,NA,NA,0.0661764705882353,9,1
file15,710,249.201,15.80771829187488,15.80771829187488,0,0,0.06976744186046512,9,1
file15,720,249.201,15.80771829187488,15.80771829187488,0,0,0.06976744186046512,9,1
file15,730,249.201,15.80771829187488,15.872621702703954,0.06490341082907491,0,0.06976744186046512,9,1
file15,740,250.137,15.872621702703954,15.872621702703954,0,0,0.06976744186046512,9,1
file15,750,250.137,15.872621702703954,15.872621702703954,0,0,0.06976744186046512,9,1
file15,760,250.137,15.872621702703954,15.872621702703954,0,0,0.06976744186046512,9,1
file15,770,250.137,15.872621702703954,15.872621702703954,0,0,0.06976744186046512,9,1
file15,780,250.137,15.872621702703954,15.872621702703954,0,0,0.06976744186046512,9,1
file15,790,250.137,15.872621702703954,15.73517733488283,-0.137444367821125,0,0.06976744186046512,9,1
file15,800,248.159,15.73517733488283,15.73517733488283,0,0,0.06976744186046512,9,1
